"russian_name","foreign_name","href","director","country","country2","year","duration","duration2","announced_name","announced_features"
"КАПИТАН","DER HAUPTMANN","http://www.kinohorosho.ru/node/1417","Роберт Швентке","Германия-Франция-Польша-Китай-Португалия","mixed",2017,118,"not short","КАПИТАНDER HAUPTMANN","Германия, Франция, Польша, Китай, Португалия, 2017, 118 мин."
"МОЛОХ","","http://www.kinohorosho.ru/node/1458","Александр Сокуров","Россия-Германия-Япония-Италия-Франция","mixed",1999,108,"not short","МОЛОХ","Россия, Германия, Япония, Италия, Франция, 1999, 108 мин."
"УРОК ТАНГО","THE TANGO LESSON","http://www.kinohorosho.ru/node/1237","Салли Поттер","Великобритания-Франция-Аргентина-Германия-Нидерланды","mixed",1997,100,"not short","УРОК ТАНГОTHE TANGO LESSON","Великобритания, Франция, Аргентина, Германия, Нидерланды, 1997, 100 мин."
"ВАДЖДА","WADJDA","http://www.kinohorosho.ru/node/1005","Хайфа Аль-Мансор","Саудовская Аравия-Германия-США-ОАЭ-Иордания-Нидерланды","mixed",2012,98,"not short","ВАДЖДАWADJDA","Саудовская Аравия, Германия, США, ОАЭ, Иордания, Нидерланды, 2012, 98 мин."
"ФАУСТ","FAUST","http://www.kinohorosho.ru/node/1459","Александр Сокуров","Россия-Германия-США-Франция-Япония-Великобритания-Италия","mixed",2011,140,"not short","ФАУСТFAUST","Россия, Германия, США, Франция, Япония, Великобритания, Италия, 2011, 140 мин."
"АННЕТТ","ANNETTE","http://www.kinohorosho.ru/node/1405","Леос Каракс","Франция-Мексика-США-Швейцария-Бельгия-Япония-Германия","mixed",2021,139,"not short","АННЕТТANNETTE"," Франция, Мексика, США, Швейцария, Бельгия, Япония, Германия, 2021, 139 мин."
"САРАБАНДА","SARABAND","http://www.kinohorosho.ru/node/1222","Ингмар Бергман","Швеция-Дания-Норвегия-Италия-Финляндия-Германия-Австрия","mixed",2003,110,"not short","САРАБАНДАSARABAND","Швеция, Дания, Норвегия, Италия, Финляндия, Германия, Австрия, 2003, 110 мин."
"ХАУХА","JAUJA","http://www.kinohorosho.ru/node/1083","Лисандро Алонсо","Аргентина-Дания-Франция-Мексика-США-Германия-Бразилия-Нидерланды","mixed",2014,109,"not short","ХАУХАJAUJA","Аргентина, Дания, Франция, Мексика, США, Германия, Бразилия, Нидерланды, 2014, 109 мин."
"ШАХМАТИСТКА","","http://www.kinohorosho.ru/node/29","Каролин Боттаро","Франция-Германия","mixed",2009,100,"not short","Шахматистка",", 2009, 100 мин."
"АЛМАЗЫ НОЧИ","","http://www.kinohorosho.ru/node/441","Ян Немец","Чехословакия","not mixed",1964,69,"not short","АЛМАЗЫ НОЧИ",", 1964, 69 мин."
